,Quarter,Tm,Detail,FRN,BUF
0,1.0,Yellow Jackets,Hap Moran unknown yard rush (Hap Moran kick),7,0
1,1.0,Yellow Jackets,Two-Bits Homan unknown yard rush,13,0
2,4.0,Yellow Jackets,Hap Moran 18 yard field goal,16,0
3,4.0,Yellow Jackets,Lou Molinet unknown yard rush (Hap Moran kick),23,0
