,Quarter,Tm,Detail,HOU,PHI
0,1.0,Oilers,Cris Dishman 10 yard blocked punt return (Tony Zendejas kick),7,0
1,1.0,Oilers,"Safety, Fairs blocked punt out of end zone",9,0
2,1.0,Oilers,Cody Carlson 1 yard rush (Tony Zendejas kick),16,0
3,2.0,Eagles,Luis Zendejas 22 yard field goal,16,3
4,2.0,Eagles,Cris Carter 38 yard pass from Randall Cunningham (Luis Zendejas kick),16,10
5,2.0,Eagles,Gregg Garrity 16 yard pass from Randall Cunningham (Luis Zendejas kick),16,17
6,2.0,Eagles,Luis Zendejas 39 yard field goal,16,20
7,3.0,Eagles,Randall Cunningham 33 yard rush (Luis Zendejas kick),16,27
8,3.0,Eagles,"Safety, Simmons tackled Carlson in end zone",16,29
9,4.0,Eagles,Luis Zendejas 41 yard field goal,16,32
10,4.0,Oilers,Mike Rozier 2 yard rush (Tony Zendejas kick),23,32
