,Quarter,Time,Tm,Detail,CIN,HOU
0,1.0,,Oilers,Gary Brown 20 yard pass from Cody Carlson (Al Del Greco kick),0,7
1,2.0,8:30,Oilers,Gary Brown 1 yard rush (Al Del Greco kick),0,14
2,2.0,8:30,Oilers,Al Del Greco 45 yard field goal,0,17
3,3.0,8:30,Bengals,Doug Pelfrey 21 yard field goal,3,17
4,3.0,8:30,Oilers,Al Del Greco 24 yard field goal,3,20
5,4.0,8:30,Bengals,Corey Sawyer 82 yard punt return (Doug Pelfrey kick),10,20
6,4.0,8:30,Bengals,Doug Pelfrey 49 yard field goal,13,20
