,Quarter,Tm,Detail,MIA,BUF
0,1.0,Dolphins,Pete Stoyanovich 45 yard field goal,3,0
1,2.0,Bills,Larry Kinnebrew 1 yard rush (Scott Norwood kick),3,7
2,2.0,Bills,Thurman Thomas 30 yard rush (Scott Norwood kick),3,14
3,2.0,Bills,Don Beebe 63 yard pass from Frank Reich (Scott Norwood kick),3,21
4,3.0,Dolphins,Mark Clayton 44 yard pass from Dan Marino (Pete Stoyanovich kick),10,21
5,4.0,Bills,Scott Norwood 45 yard field goal,10,24
6,4.0,Bills,Kirby Jackson 40 yard interception return (Scott Norwood kick),10,31
7,4.0,Dolphins,Andre Brown 44 yard pass from Scott Secules (Pete Stoyanovich kick),17,31
