,Quarter,Tm,Detail,PHI,STL
0,1.0,Cardinals,Steve Little 27 yard field goal,0,3
1,2.0,Cardinals,Steve Little 28 yard field goal,0,6
2,2.0,Eagles,Harold Carmichael 3 yard pass from Ron Jaworski (Tony Franklin kick),7,6
3,3.0,Cardinals,Mel Gray 78 yard pass from Steve Pisarkiewicz (Steve Little kick),7,13
4,3.0,Eagles,Tony Franklin 51 yard field goal,10,13
5,3.0,Eagles,Wilbert Montgomery 5 yard rush (Tony Franklin kick),17,13
6,4.0,Cardinals,Ottis Anderson 1 yard rush (Steve Little kick),17,20
7,4.0,Eagles,Billy Campfield 11 yard rush (Tony Franklin kick),24,20
