,Quarter,Tm,Detail,GNB,DET
0,1.0,Packers,Travis Williams 2 yard rush (Mike Mercer kick),7,0
1,1.0,Packers,Carroll Dale 40 yard pass from Bart Starr (Mike Mercer kick),14,0
2,2.0,Lions,Mel Farr 3 yard rush (Errol Mann kick),14,7
3,2.0,Lions,Errol Mann 24 yard field goal,14,10
4,3.0,Packers,Carroll Dale 4 yard pass from Bart Starr (Mike Mercer kick),21,10
5,3.0,Lions,Mel Farr 2 yard rush (Errol Mann kick),21,17
6,4.0,Packers,Dave Hampton 1 yard rush (Mike Mercer kick),28,17
