,Quarter,Time,Tm,Detail,ARI,CAR
0,1.0,10:22,Panthers,John Kasay 28 yard field goal,0,3
1,1.0,0:14,Panthers,John Kasay 29 yard field goal,0,6
2,2.0,8:42,Panthers,Jeff King 16 yard pass from Jimmy Clausen (John Kasay kick),0,13
3,2.0,0:36,Cardinals,Jay Feely 23 yard field goal,3,13
4,3.0,12:12,Panthers,John Kasay 24 yard field goal,3,16
5,3.0,0:27,Panthers,John Kasay 43 yard field goal,3,19
6,4.0,5:41,Cardinals,Steve Breaston 10 yard offensive fumble return (run failed),9,19
7,4.0,0:54,Cardinals,Jay Feely 30 yard field goal,12,19
