,Quarter,Time,Tm,Detail,ATL,TAM
0,1.0,1:19,Buccaneers,Connor Barth 49 yard field goal,0,3
1,2.0,11:10,Falcons,Matt Bryant 26 yard field goal,3,3
2,2.0,3:37,Buccaneers,Josh Freeman 1 yard rush (Connor Barth kick),3,10
3,2.0,1:56,Buccaneers,Connor Barth 26 yard field goal,3,13
4,3.0,6:50,Buccaneers,Connor Barth 28 yard field goal,3,16
5,4.0,9:55,Falcons,Tony Gonzalez 10 yard pass from Matt Ryan (Matt Bryant kick),10,16
6,4.0,4:06,Falcons,Matt Bryant 33 yard field goal,13,16
