,Quarter,Tm,Detail,MIN,CLE
0,1.0,Vikings,Ted Brown 1 yard rush (Benny Ricardo kick),7,0
1,2.0,Vikings,Benny Ricardo 23 yard field goal,10,0
2,2.0,Browns,Ricky Feacher 18 yard pass from Brian Sipe (Matt Bahr kick),10,7
3,2.0,Vikings,Ted Brown 5 yard rush (Benny Ricardo kick),17,7
4,3.0,Browns,Mike Pruitt 6 yard pass from Brian Sipe (Matt Bahr kick),17,14
5,3.0,Vikings,Ted Brown 10 yard pass from Tommy Kramer (Benny Ricardo kick),24,14
6,3.0,Vikings,Benny Ricardo 38 yard field goal,27,14
7,4.0,Browns,Willis Adams 23 yard pass from Brian Sipe (Matt Bahr kick),27,21
