,Quarter,Time,Tm,Detail,MIA,NWE
0,1.0,,Dolphins,Pete Stoyanovich 22 yard field goal,3,0
1,1.0,2:49,Dolphins,Irving Fryar 67 yard pass from Dan Marino (Pete Stoyanovich kick),10,0
2,2.0,2:49,Patriots,Matt Bahr 29 yard field goal,10,3
3,2.0,2:49,Dolphins,Irving Fryar 31 yard pass from Terry Kirby (Pete Stoyanovich kick),17,3
4,4.0,2:49,Dolphins,Pete Stoyanovich 19 yard field goal,20,3
