,Quarter,Time,Tm,Detail,WAS,NYG
0,1.0,,Redskins,Leslie Shepherd 17 yard pass from Gus Frerotte (Scott Blanton kick),7,0
1,2.0,,Giants,Brad Daluiso 35 yard field goal,7,3
2,2.0,,Redskins,Scott Blanton 46 yard field goal,10,3
3,2.0,,Giants,Chris Calloway 5 yard pass from Danny Kanell (Brad Daluiso kick),10,10
4,3.0,,Giants,Charles Way 2 yard rush (Brad Daluiso kick),10,17
5,3.0,,Giants,Michael Strahan 24 yard interception return (Brad Daluiso kick),10,24
6,3.0,,Redskins,Larry Bowie 4 yard pass from Trent Green (Scott Blanton kick),17,24
7,3.0,,Giants,Amani Toomer 22 yard pass from Danny Kanell (Brad Daluiso kick),17,31
8,4.0,,Redskins,Stephen Alexander 1 yard pass from Trent Green (Scott Blanton kick),24,31
