,Quarter,Tm,Detail,BAL,NYJ
0,1.0,Jets,Scott Dierking 2 yard rush (Pat Leahy kick),0,7
1,1.0,Colts,Toni Linhart 30 yard field goal,3,7
2,2.0,Colts,Don McCauley 1 yard rush (Toni Linhart kick),10,7
3,2.0,Jets,Wesley Walker 48 yard pass from Matt Robinson (Pat Leahy kick),10,14
4,3.0,Colts,Toni Linhart 22 yard field goal,13,14
5,3.0,Jets,Wesley Walker 38 yard pass from Matt Robinson (Pat Leahy kick),13,21
6,3.0,Colts,Toni Linhart 41 yard field goal,16,21
7,4.0,Jets,Pat Leahy 22 yard field goal,16,24
