,Quarter,Tm,Detail,PHI,NYG
0,1.0,Eagles,Paul McFadden 47 yard field goal,3,0
1,1.0,Giants,Zeke Mowatt 24 yard pass from Phil Simms (Ali Haji-Sheikh kick),3,7
2,2.0,Eagles,Paul McFadden 41 yard field goal,6,7
3,2.0,Giants,Byron Williams 65 yard pass from Phil Simms (Ali Haji-Sheikh kick),6,14
4,2.0,Giants,Bobby Johnson 35 yard pass from Phil Simms (Ali Haji-Sheikh kick),6,21
5,3.0,Eagles,Wilbert Montgomery 4 yard rush (Paul McFadden kick),13,21
6,3.0,Eagles,Mike Quick 14 yard pass from Ron Jaworski (Paul McFadden kick),20,21
7,4.0,Giants,Bobby Johnson 16 yard pass from Phil Simms (Ali Haji-Sheikh kick),20,28
8,4.0,Eagles,Rich Kraynak special teams fumble recovery in end zone (Paul McFadden kick),27,28
