,Quarter,Tm,Detail,SDG,PIT
0,1.0,Steelers,Gary Anderson 55 yard field goal,0,3
1,2.0,Steelers,Louis Lipps 15 yard pass from Mark Malone (Gary Anderson kick),0,10
2,2.0,Steelers,Frank Pollard 2 yard rush (Gary Anderson kick),0,17
3,2.0,Chargers,Rolf Benirschke 29 yard field goal,3,17
4,2.0,Steelers,John Stallworth 30 yard pass from Mark Malone (Gary Anderson kick),3,24
5,2.0,Chargers,Lionel James 59 yard punt return (Rolf Benirschke kick),10,24
6,3.0,Chargers,Wes Chandler 63 yard pass from Ed Luther (Rolf Benirschke kick),17,24
7,3.0,Steelers,Frank Pollard 2 yard rush (Gary Anderson kick),17,31
8,3.0,Steelers,John Stallworth 5 yard pass from Mark Malone (Gary Anderson kick),17,38
9,3.0,Steelers,John Stallworth 45 yard pass from Mark Malone (Gary Anderson kick),17,45
10,4.0,Steelers,Mark Malone 1 yard rush (Gary Anderson kick),17,52
11,4.0,Chargers,Charlie Joiner 25 yard pass from Ed Luther (Rolf Benirschke kick),24,52
