,Quarter,Tm,Detail,NYG,PHI
0,2.0,Eagles,Steve Van Buren 2 yard rush (Bobby Walston kick),0,7
1,2.0,Giants,Eddie Price 80 yard rush (Ray Poole kick),7,7
2,2.0,Giants,Ray Poole 41 yard field goal,10,7
3,3.0,Giants,Kelley Mote 39 yard pass from Charlie Conerly (Ray Poole kick),17,7
4,4.0,Giants,Ray Poole 39 yard field goal,20,7
5,4.0,Giants,Ray Poole 14 yard field goal,23,7
