,Quarter,Time,Tm,Detail,BUF,CLE
0,1.0,9:04,Bills,T.J. Graham 9 yard pass from Ryan Fitzpatrick (Rian Lindell kick),7,0
1,1.0,5:06,Bills,C.J. Spiller 32 yard pass from Ryan Fitzpatrick (Rian Lindell kick),14,0
2,2.0,2:12,Browns,Trent Richardson 6 yard rush (Phil Dawson kick),14,7
3,3.0,10:38,Bills,Rian Lindell 37 yard field goal,17,7
4,3.0,2:27,Browns,Travis Benjamin 22 yard pass from Brandon Weeden (Phil Dawson kick),17,14
5,4.0,9:08,Bills,Steve Johnson 9 yard pass from Ryan Fitzpatrick (Rian Lindell kick),24,14
