,Quarter,Tm,Detail,NYG,MIN
0,1.0,Giants,Raul Allegre 41 yard field goal,3,0
1,1.0,Vikings,Chuck Nelson 39 yard field goal,3,3
2,2.0,Giants,Raul Allegre 37 yard field goal,6,3
3,2.0,Vikings,Chuck Nelson 44 yard field goal,6,6
4,2.0,Giants,Raul Allegre 24 yard field goal,9,6
5,3.0,Vikings,Allen Rice 8 yard pass from Tommy Kramer (Chuck Nelson kick),9,13
6,3.0,Giants,Raul Allegre 37 yard field goal,12,13
7,4.0,Giants,Bobby Johnson 25 yard pass from Phil Simms (Raul Allegre kick),19,13
8,4.0,Vikings,Anthony Carter 33 yard pass from Wade Wilson (Chuck Nelson kick),19,20
9,4.0,Giants,Raul Allegre 33 yard field goal,22,20
