,Quarter,Tm,Detail,STL,DAL
0,1.0,Cardinals,Jim Bakken 18 yard field goal,3,0
1,1.0,Cowboys,Danny Villanueva 31 yard field goal,3,3
2,1.0,Cardinals,Sonny Randle 7 yard pass from Charley Johnson (Jim Bakken kick),10,3
3,2.0,Cowboys,Bob Hayes 46 yard pass from Don Meredith (Danny Villanueva kick),10,10
4,2.0,Cardinals,Jim Bakken 41 yard field goal,13,10
5,2.0,Cowboys,Danny Villanueva 14 yard field goal,13,13
6,4.0,Cowboys,Dan Reeves 23 yard pass from Don Meredith (Danny Villanueva kick),13,20
7,4.0,Cowboys,Pettis Norman 3 yard pass from Don Meredith (Danny Villanueva kick),13,27
