,Quarter,Time,Tm,Detail,CHI,IND
0,1.0,8:24,Bears,Connor Barth 35 yard field goal,3,0
1,1.0,5:10,Colts,Adam Vinatieri 54 yard field goal,3,3
2,2.0,12:58,Colts,Dwayne Allen 1 yard pass from Andrew Luck (Adam Vinatieri kick),3,10
3,2.0,8:22,Bears,Connor Barth 49 yard field goal,6,10
4,2.0,6:08,Colts,Adam Vinatieri 53 yard field goal,6,13
5,2.0,3:35,Bears,Cameron Meredith 14 yard pass from Brian Hoyer (Connor Barth kick),13,13
6,2.0,0:11,Colts,Adam Vinatieri 26 yard field goal,13,16
7,3.0,5:52,Colts,Adam Vinatieri 41 yard field goal,13,19
8,4.0,13:31,Bears,Connor Barth 24 yard field goal,16,19
9,4.0,7:04,Bears,Jordan Howard 21 yard pass from Brian Hoyer (Connor Barth kick),23,19
10,4.0,3:43,Colts,T.Y. Hilton 35 yard pass from Andrew Luck (Adam Vinatieri kick),23,26
11,4.0,2:28,Colts,Adam Vinatieri 46 yard field goal,23,29
