,Quarter,Tm,Detail,STL,PHI
0,1.0,Eagles,Paul McFadden 33 yard field goal,0,3
1,2.0,Cardinals,Eric Schubert 27 yard field goal,3,3
2,4.0,Eagles,Randall Cunningham 2 yard rush (Paul McFadden kick),3,10
3,4.0,Cardinals,Roy Green 48 yard pass from Neil Lomax (Eric Schubert kick),10,10
