,Quarter,Time,Tm,Detail,ATL,NOR
0,1,6:38,Falcons,Tod McBride 15 yard interception return (Jay Feely kick),7,0
1,1,0:47,Falcons,Jay Feely 38 yard field goal,10,0
2,2,12:52,Falcons,T.J. Duckett 4 yard rush (Jay Feely kick),17,0
3,2,4:07,Saints,John Carney 28 yard field goal,17,3
4,2,0:07,Falcons,Jay Feely 27 yard field goal,20,3
5,3,6:13,Saints,Deuce McAllister 5 yard rush (John Carney kick),20,10
6,4,12:22,Saints,Deuce McAllister 7 yard rush (John Carney kick),20,17
7,4,0:05,Saints,John Carney 26 yard field goal,20,20
8,OT,11:01,Saints,John Carney 36 yard field goal,20,23
