,Quarter,Time,Tm,Detail,JAX,DEN
0,1.0,,Broncos,Jason Elam 31 yard field goal,0,3
1,1.0,,Jaguars,Mike Hollis 45 yard field goal,3,3
2,2.0,,Broncos,Ed McCaffrey 41 yard pass from John Elway (Jason Elam kick),3,10
3,2.0,,Broncos,Terrell Davis 4 yard rush (Jason Elam kick),3,17
4,2.0,11:08,Jaguars,Fred Taylor 4 yard pass from Mark Brunell (Mike Hollis kick),10,17
5,2.0,11:08,Broncos,Terrell Davis 1 yard rush (Jason Elam kick),10,24
6,2.0,11:08,Broncos,Jason Elam 63 yard field goal,10,27
7,3.0,11:08,Jaguars,Damon Jones 31 yard pass from Mark Brunell (Mike Hollis kick),17,27
8,4.0,14:23,Broncos,Terrell Davis 37 yard rush (Jason Elam kick),17,34
9,4.0,14:23,Jaguars,Pete Mitchell 2 yard pass from Mark Brunell (Mike Hollis kick),24,34
10,4.0,14:23,Broncos,Jason Elam 32 yard field goal,24,37
