,Quarter,Tm,Detail,WAS,NYG
0,1.0,Redskins,Otis Wonsley 1 yard pass from Joe Theismann (Mark Moseley kick),7,0
1,2.0,Redskins,Charlie Brown 39 yard pass from Joe Theismann (Mark Moseley kick),14,0
2,2.0,Redskins,John Riggins 2 yard rush (Mark Moseley kick),21,0
3,2.0,Giants,Joe Danelo 20 yard field goal,21,3
4,3.0,Giants,Johnny Perkins 26 yard pass from Scott Brunner (Joe Danelo kick),21,10
5,3.0,Redskins,Mark Moseley 37 yard field goal,24,10
6,4.0,Giants,Cliff Chatman 1 yard rush (Joe Danelo kick),24,17
7,4.0,Redskins,Mark Moseley 29 yard field goal,27,17
