,Quarter,Tm,Detail,NYG,CHI
0,1.0,Giants,Benny Friedman 12 yard rush (Benny Friedman kick),7,0
1,1.0,Bears,Luke Johnsos unknown yard pass from Walt Holmer,7,6
2,3.0,Bears,Walt Holmer 35 yard field goal,7,9
3,4.0,Giants,Len Sedbrook 25 yard pass from Benny Friedman (Benny Friedman kick),14,9
