,Quarter,Tm,Detail,DAL,NYG
0,1.0,Giants,Byron Williams 62 yard pass from Phil Simms (Ali Haji-Sheikh kick),0,7
1,1.0,Giants,Lionel Manuel 16 yard pass from Phil Simms (Ali Haji-Sheikh kick),0,14
2,2.0,Giants,Andy Headen 81 yard defensive fumble return (Ali Haji-Sheikh kick),0,21
3,3.0,Giants,Zeke Mowatt 18 yard pass from Phil Simms (Ali Haji-Sheikh kick),0,28
4,3.0,Cowboys,Doug Cosbie 2 yard pass from Gary Hogeboom (Rafael Septien kick),7,28
