,Quarter,Tm,Detail,CRD,CHI
0,1.0,Bears,Charlie Sumner 86 yard fumble return (George Blanda kick),0,7
1,1.0,Bears,George Blanda 43 yard field goal,0,10
2,2.0,Bears,Ed Brown 1 yard rush (George Blanda kick),0,17
3,2.0,Bears,Rick Casares 14 yard pass from Ed Brown (George Blanda kick),0,24
4,2.0,Bears,George Blanda 43 yard field goal,0,27
5,2.0,Bears,George Blanda 25 yard field goal,0,30
6,4.0,Cardinals,Jimmy Sears 2 yard pass from M.C. Reynolds (Bobby Joe Conrad kick),7,30
7,4.0,Cardinals,Joe Childress 6 yard pass from M.C. Reynolds (Bobby Joe Conrad kick),14,30
