,Quarter,Time,Tm,Detail,CLE,OAK
0,1.0,5:43,Raiders,Darren McFadden 4 yard rush (Sebastian Janikowski kick),0,7
1,2.0,12:07,Browns,Alex Smith 1 yard pass from Colt McCoy (Phil Dawson kick),7,7
2,2.0,11:53,Raiders,Jacoby Ford 101 yard kickoff return (Sebastian Janikowski kick),7,14
3,3.0,3:06,Raiders,Sebastian Janikowski 48 yard field goal,7,17
4,3.0,1:23,Raiders,Kevin Boss 35 yard pass from Shane Lechler (Sebastian Janikowski kick),7,24
5,4.0,12:24,Browns,Phil Dawson 47 yard field goal,10,24
6,4.0,1:06,Browns,Mohamed Massaquoi 12 yard pass from Colt McCoy (Phil Dawson kick),17,24
