,Quarter,Tm,Detail,RAM,SFO
0,1.0,49ers,Bruce Gossett 14 yard field goal,0,3
1,2.0,49ers,Bruce Gossett 44 yard field goal,0,6
2,2.0,Rams,David Ray 36 yard field goal,3,6
3,2.0,Rams,David Ray 9 yard field goal,6,6
4,2.0,49ers,Gene Washington 9 yard pass from John Brodie (Bruce Gossett kick),6,13
5,3.0,Rams,Willie Ellison 1 yard rush (David Ray kick),13,13
6,3.0,Rams,David Ray 22 yard field goal,16,13
7,4.0,Rams,Willie Ellison 2 yard rush (David Ray kick),23,13
8,4.0,Rams,Willie Ellison 8 yard rush (David Ray kick),30,13
