,Quarter,Time,Tm,Detail,GNB,CHI
0,1.0,6:30,Bears,Brandon Marshall 6 yard pass from Jay Cutler (Robbie Gould kick),0,7
1,1.0,4:08,Packers,Eddie Lacy 2 yard rush (Mason Crosby kick),7,7
2,2.0,13:58,Bears,Robbie Gould 23 yard field goal,7,10
3,2.0,10:11,Packers,Jordy Nelson 3 yard pass from Aaron Rodgers (Mason Crosby kick),14,10
4,2.0,3:50,Bears,Alshon Jeffery 8 yard pass from Jay Cutler (Robbie Gould kick),14,17
5,2.0,1:03,Packers,Randall Cobb 22 yard pass from Aaron Rodgers (Mason Crosby kick),21,17
6,3.0,10:57,Packers,Mason Crosby 53 yard field goal,24,17
7,3.0,4:28,Packers,Jordy Nelson 11 yard pass from Aaron Rodgers (Mason Crosby kick),31,17
8,4.0,14:52,Packers,Randall Cobb 3 yard pass from Aaron Rodgers (Mason Crosby kick),38,17
