,Quarter,Tm,Detail,DET,GNB
0,1.0,Lions,Eddie Murray 42 yard field goal,3,0
1,2.0,Lions,Eddie Murray 37 yard field goal,6,0
2,2.0,Lions,Eddie Murray 19 yard field goal,9,0
3,3.0,Packers,Dale Dawson 32 yard field goal,9,3
4,4.0,Lions,Scott Williams 1 yard rush (Eddie Murray kick),16,3
5,4.0,Lions,Eddie Murray 26 yard field goal,19,3
6,4.0,Packers,Aubrey Matthews 3 yard pass from Don Majkowski,19,9
