,Quarter,Time,Tm,Detail,TAM,CHI
0,1.0,,Bears,Raymont Harris 2 yard rush (Jeff Jaeger kick),0,7
1,1.0,,Bears,Jeff Jaeger 32 yard field goal,0,10
2,2.0,,Bears,Jeff Jaeger 25 yard field goal,0,13
3,3.0,,Buccaneers,Reidel Anthony 12 yard pass from Trent Dilfer (Michael Husted kick),7,13
