,Quarter,Tm,Detail,DET,NWE
0,1,Lions,Willie Clay 15 yard special teams fumble return (Jason Hanson kick),7,0
1,1,Patriots,Scott Sisson 26 yard field goal,7,3
2,1,Patriots,Scott Sisson 21 yard field goal,7,6
3,2,Patriots,Scott Sisson 32 yard field goal,7,9
4,3,Lions,Jason Hanson 22 yard field goal,10,9
5,4,Lions,Jason Hanson 26 yard field goal,13,9
6,4,Lions,Jason Hanson 23 yard field goal,16,9
7,4,Patriots,Vincent Brisby 2 yard pass from Drew Bledsoe (Scott Sisson kick),16,16
8,OT,Lions,Jason Hanson 38 yard field goal,19,16
