,Quarter,Time,Tm,Detail,STL,KAN
0,1.0,11:56,Rams,Lance Kendricks 1 yard pass from Austin Davis (Greg Zuerlein kick),7,0
1,2.0,12:00,Chiefs,Jamaal Charles 1 yard rush (Cairo Santos kick),7,7
2,2.0,0:01,Chiefs,Cairo Santos 53 yard field goal,7,10
3,3.0,14:48,Chiefs,Knile Davis 99 yard kickoff return (Cairo Santos kick),7,17
4,3.0,8:46,Chiefs,Cairo Santos 28 yard field goal,7,20
5,4.0,14:18,Chiefs,Jamaal Charles 36 yard rush (Cairo Santos kick),7,27
6,4.0,6:28,Chiefs,Knile Davis 3 yard rush (Cairo Santos kick),7,34
