,Quarter,Time,Tm,Detail,TAM,ATL
0,1.0,6:24,Buccaneers,Connor Barth 48 yard field goal,3,0
1,1.0,2:24,Falcons,Matt Bryant 28 yard field goal,3,3
2,2.0,8:43,Buccaneers,Mike Williams 8 yard pass from Josh Freeman (Connor Barth kick),10,3
3,2.0,3:03,Buccaneers,Connor Barth 22 yard field goal,13,3
4,3.0,10:47,Buccaneers,Connor Barth 42 yard field goal,16,3
5,3.0,3:45,Falcons,Michael Turner 17 yard rush (Matt Bryant kick),16,10
6,3.0,1:43,Buccaneers,Doug Martin 40 yard rush (pass failed),22,10
7,4.0,7:02,Falcons,Harry Douglas 7 yard pass from Matt Ryan (Matt Bryant kick),22,17
