,Quarter,Tm,Detail,CHI,NYG
0,3.0,Giants,Jack McBride 1 yard rush,0,6
1,3.0,Giants,Jack McBride 1 yard rush (Jack McBride kick),0,13
2,4.0,Bears,Joey Sternaman 15 yard pass from Paddy Driscoll (Joey Sternaman kick),7,13
