,Quarter,Tm,Detail,BOS,MIA
0,1.0,Dolphins,Karl Kremser 22 yard field goal,0,3
1,1.0,Dolphins,Jim Kiick 3 yard rush,0,9
2,1.0,Patriots,Ron Sellers 46 yard pass from Mike Taliaferro,6,9
3,2.0,Dolphins,Jim Kiick 2 yard rush (Karl Kremser kick),6,16
4,2.0,Patriots,"Safety, Morris tackled in end zone by Jones",8,16
5,2.0,Patriots,Charley Frazier 50 yard pass from Mike Taliaferro (Gino Cappelletti kick),15,16
6,2.0,Patriots,Bill Rademacher 14 yard pass from Mike Taliaferro (Gino Cappelletti kick),22,16
7,3.0,Dolphins,Gene Milton offensive fumble recovery in end zone (Karl Kremser kick),22,23
8,4.0,Patriots,Jim Nance 1 yard rush (pass failed),28,23
9,4.0,Patriots,Jim Nance 1 yard rush (Gino Cappelletti kick),35,23
10,4.0,Patriots,Gino Cappelletti 13 yard field goal,38,23
