,Quarter,Tm,Detail,SFO,MIN
0,1.0,Vikings,Fred Cox 28 yard field goal,0,3
1,2.0,Vikings,Fred Cox 29 yard field goal,0,6
2,2.0,Vikings,Terry Brown 26 yard defensive fumble return (Fred Cox kick),0,13
3,2.0,49ers,Steve Mike-Mayer 19 yard field goal,3,13
4,2.0,49ers,Gene Washington 22 yard pass from Norm Snead (Steve Mike-Mayer kick),10,13
5,4.0,Vikings,Brent McClanahan 10 yard pass from Fran Tarkenton (Fred Cox kick),10,20
6,4.0,Vikings,Chuck Foreman 1 yard rush (Fred Cox kick),10,27
7,4.0,49ers,Dave Washington 15 yard blocked punt return (Steve Mike-Mayer kick),17,27
