,Quarter,Tm,Detail,ATL,TAM
0,1.0,Falcons,Mick Luckhurst 38 yard field goal,3,0
1,1.0,Buccaneers,Jerry Eckwood 1 yard rush (Bill Capece kick),3,7
2,2.0,Falcons,Mick Luckhurst 44 yard field goal,6,7
3,2.0,Buccaneers,Jimmie Giles 38 yard pass from Doug Williams (Bill Capece kick),6,14
4,2.0,Falcons,Mick Luckhurst 32 yard field goal,9,14
5,3.0,Falcons,William Andrews 8 yard rush (Mick Luckhurst kick),16,14
6,3.0,Buccaneers,Bill Capece 42 yard field goal,16,17
7,4.0,Falcons,William Andrews 2 yard rush (Mick Luckhurst kick),23,17
8,4.0,Buccaneers,Kevin House 71 yard pass from Doug Williams (Bill Capece kick),23,24
