,Quarter,Tm,Detail,RAM,NYG
0,1.0,Giants,Rodney Hampton 1 yard rush (David Treadwell kick),0,7
1,2.0,Giants,David Treadwell 34 yard field goal,0,10
2,2.0,Rams,Tony Zendejas 52 yard field goal,3,10
3,2.0,Giants,David Treadwell 19 yard field goal,3,13
4,3.0,Giants,Mark Collins 50 yard interception return (David Treadwell kick),3,20
5,4.0,Rams,Flipper Anderson 51 yard pass from Jim Everett (Tony Zendejas kick),10,20
