,Quarter,Time,Tm,Detail,LAR,SEA
0,2.0,12:21,Seahawks,Luke Willson 8 yard pass from Russell Wilson (Stephen Hauschka kick),0,7
1,2.0,8:45,Seahawks,Stephen Hauschka 48 yard field goal,0,10
2,2.0,0:55,Rams,Greg Zuerlein 36 yard field goal,3,10
3,3.0,3:12,Seahawks,Doug Baldwin 1 yard pass from Russell Wilson (Stephen Hauschka kick),3,17
4,4.0,14:49,Seahawks,Tyler Lockett 57 yard pass from Russell Wilson (Stephen Hauschka kick),3,24
