,Quarter,Time,Tm,Detail,CAR,NOR
0,1.0,4:05,Panthers,Chris Weinke 6 yard rush (John Kasay kick),7,0
1,2.0,7:31,Saints,John Carney 42 yard field goal,7,3
2,2.0,0:49,Saints,Terrelle Smith 4 yard pass from Aaron Brooks (John Carney kick),7,10
3,3.0,9:01,Saints,John Carney 24 yard field goal,7,13
4,3.0,2:40,Panthers,John Kasay 47 yard field goal,10,13
5,4.0,14:56,Saints,Albert Connell 14 yard pass from Aaron Brooks (John Carney kick),10,20
6,4.0,13:09,Panthers,John Kasay 23 yard field goal,13,20
7,4.0,5:49,Panthers,Chris Weinke 1 yard rush (John Kasay kick),20,20
8,4.0,2:40,Panthers,John Kasay 51 yard field goal,23,20
9,4.0,1:31,Saints,Joe Horn 17 yard pass from Aaron Brooks (John Carney kick),23,27
