,Quarter,Time,Tm,Detail,DEN,NYJ
0,1.0,8:41,Broncos,Vernon Fox 23 yard defensive fumble return (Matt Prater kick),7,0
1,1.0,8:21,Jets,Thomas Jones 59 yard rush (Jay Feely kick),7,7
2,1.0,6:44,Broncos,Eddie Royal 59 yard pass from Jay Cutler (Matt Prater kick),14,7
3,1.0,1:44,Broncos,Matt Prater 25 yard field goal,17,7
4,2.0,12:44,Jets,Thomas Jones 29 yard rush (Jay Feely kick),17,14
5,2.0,4:29,Broncos,Peyton Hillis 1 yard rush (Matt Prater kick),24,14
6,2.0,0:03,Broncos,Matt Prater 35 yard field goal,27,14
7,3.0,2:50,Jets,Jay Feely 30 yard field goal,27,17
8,4.0,9:26,Broncos,Brandon Stokley 36 yard pass from Jay Cutler (Matt Prater kick),34,17
