,Quarter,Tm,Detail,RAM,NYG
0,1.0,Rams,Pete Holohan 14 yard pass from Jim Everett (Mike Lansford kick),7,0
1,2.0,Giants,Raul Allegre 34 yard field goal,7,3
2,2.0,Rams,Robert Delpino 5 yard pass from Jim Everett (Mike Lansford kick),14,3
3,2.0,Rams,Greg Bell 2 yard rush (Mike Lansford kick),21,3
4,2.0,Rams,Aaron Cox 69 yard pass from Jim Everett (Mike Lansford kick),28,3
5,2.0,Giants,Mark Ingram 9 yard pass from Phil Simms (Raul Allegre kick),28,10
6,3.0,Giants,Pepper Johnson 33 yard interception return (Raul Allegre kick),28,17
7,3.0,Rams,Greg Bell 2 yard pass from Jim Everett (Mike Lansford kick),35,17
8,3.0,Giants,Joe Morris 3 yard rush (Raul Allegre kick),35,24
9,4.0,Rams,Mike Lansford 41 yard field goal,38,24
10,4.0,Rams,Henry Ellard 41 yard pass from Jim Everett (Mike Lansford kick),45,24
11,4.0,Giants,Mark Bavaro 16 yard pass from Phil Simms (Raul Allegre kick),45,31
