,Quarter,Time,Tm,Detail,GNB,SDG
0,1.0,0:21,Packers,William Henderson 7 yard pass from Brett Favre (Ryan Longwell kick),7,0
1,2.0,13:19,Packers,Dorsey Levens 6 yard rush (Ryan Longwell kick),14,0
2,2.0,4:01,Chargers,John Carney 28 yard field goal,14,3
3,3.0,11:48,Packers,Bill Schroeder 6 yard pass from Brett Favre (Ryan Longwell kick),21,3
4,3.0,0:00,Packers,Antonio Freeman 3 yard pass from Brett Favre (Ryan Longwell kick),28,3
5,4.0,1:54,Packers,Ryan Longwell 46 yard field goal,31,3
