,Quarter,Time,Tm,Detail,SDG,DEN
0,1.0,,Broncos,Terrell Davis 2 yard rush (Jason Elam kick),0,7
1,1.0,,Broncos,Anthony Miller 34 yard pass from John Elway (Jason Elam kick),0,14
2,1.0,,Broncos,Shannon Sharpe 4 yard pass from John Elway (Jason Elam kick),0,21
3,1.0,0:04,Chargers,Andre Coleman 91 yard kickoff return (John Carney kick),7,21
4,2.0,0:04,Broncos,Jason Elam 20 yard field goal,7,24
5,2.0,0:04,Chargers,John Carney 29 yard field goal,10,24
6,2.0,0:04,Broncos,Jason Elam 35 yard field goal,10,27
7,3.0,0:04,Chargers,John Carney 32 yard field goal,13,27
8,4.0,2:55,Chargers,Ronnie Harmon 12 yard pass from Stan Humphries (John Carney kick),20,27
9,4.0,2:55,Chargers,Rodney Culver 4 yard rush (John Carney kick),27,27
10,4.0,2:55,Broncos,Jason Elam 32 yard field goal,27,30
