,Quarter,Tm,Detail,MIN,MIL
0,1.0,Badgers,Red Dunn 20 yard rush (Red Dunn kick),0,7
1,2.0,Marines,Marty Norton 5 yard rush (Eddie Novak kick),7,7
2,2.0,Badgers,Dinger Doane unknown yard rush (Red Dunn kick),7,14
3,2.0,Badgers,Red Dunn 28 yard field goal,7,17
4,3.0,Badgers,Red Dunn 30 yard field goal,7,20
5,4.0,Badgers,Jimmy Conzelman interception in end zone,7,26
6,4.0,Badgers,"Safety,",7,28
