,Quarter,Tm,Detail,CLE,NWE
0,2.0,Browns,Leroy Hoard 7 yard pass from Bernie Kosar (Matt Stover kick),7,0
1,3.0,Browns,Matt Stover 30 yard field goal,10,0
2,4.0,Browns,Matt Stover 32 yard field goal,13,0
3,4.0,Browns,Michael Jackson 65 yard pass from Bernie Kosar (Matt Stover kick),20,0
