,Quarter,Tm,Detail,DAY,CRD
0,1.0,Cardinals,Paddy Driscoll 15 yard rush (Paddy Driscoll kick),0,7
1,1.0,Cardinals,Bob Koehler unknown yard rush (Paddy Driscoll kick),0,14
