,Quarter,Tm,Detail,CRD,TOR
0,2.0,Cardinals,Mickey MacDonnell unknown yard pass from Ernie Nevers (Ernie Nevers kick),7,0
1,2.0,Cardinals,Cobb Rooney unknown yard pass from Ernie Nevers,13,0
2,2.0,Cardinals,Duke Slater interception in end zone (Ernie Nevers kick),20,0
3,4.0,Cardinals,Ernie Nevers 4 yard rush,26,0
