,Quarter,Time,Tm,Detail,BAL,ARI
0,1.0,10:59,Cardinals,Bryan Gilmore 14 yard pass from Jeff Blake (Tim Duncan kick),0,7
1,1.0,4:16,Ravens,Matt Stover 31 yard field goal,3,7
2,2.0,7:20,Ravens,Matt Stover 22 yard field goal,6,7
3,2.0,3:11,Ravens,Matt Stover 29 yard field goal,9,7
4,2.0,1:47,Ravens,Ed Reed 22 yard blocked punt return (Matt Stover kick),16,7
5,2.0,0:02,Cardinals,Tim Duncan 46 yard field goal,16,10
6,3.0,4:03,Ravens,Chris McAlister 83 yard interception return (Matt Stover kick),23,10
7,4.0,11:17,Ravens,Matt Stover 37 yard field goal,26,10
8,4.0,0:15,Cardinals,Freddie Jones 12 yard pass from Jeff Blake (Jeff Blake run),26,18
