,Quarter,Time,Tm,Detail,PIT,PHI
0,1.0,,Eagles,Jason Dunn 31 yard pass from Bobby Hoying (Chris Boniol kick),0,7
1,1.0,,Eagles,Irving Fryar 8 yard pass from Bobby Hoying (Chris Boniol kick),0,14
2,1.0,,Steelers,Norm Johnson 46 yard field goal,3,14
3,2.0,,Steelers,Norm Johnson 40 yard field goal,6,14
4,2.0,,Eagles,Chris Boniol 23 yard field goal,6,17
5,3.0,,Eagles,Chris Boniol 35 yard field goal,6,20
6,3.0,,Steelers,Jerome Bettis 19 yard pass from Kordell Stewart (Norm Johnson kick),13,20
7,4.0,,Eagles,Chris Boniol 25 yard field goal,13,23
8,4.0,,Steelers,Will Blackwell 30 yard pass from Kordell Stewart (Norm Johnson kick),20,23
