,Quarter,Tm,Detail,PIT,NYG
0,1.0,Steelers,Mike Clark 10 yard field goal,3,0
1,2.0,Steelers,Clendon Thomas 13 yard pass from Ed Brown (Mike Clark kick),10,0
2,2.0,Steelers,John Henry Johnson 10 yard rush (Mike Clark kick),17,0
3,2.0,Giants,Don Chandler 41 yard field goal,17,3
4,3.0,Steelers,Gary Ballman 22 yard pass from Ed Brown (Mike Clark kick),24,3
5,3.0,Steelers,Mike Clark 28 yard field goal,27,3
6,3.0,Steelers,John Henry Johnson 2 yard rush (Mike Clark kick),34,3
7,3.0,Steelers,Mike Clark 23 yard field goal,37,3
8,4.0,Giants,Gary Wood 8 yard rush (Don Chandler kick),37,10
9,4.0,Steelers,Dick Hoak 5 yard rush (Mike Clark kick),44,10
10,4.0,Giants,Erich Barnes special teams fumble recovery in end zone (Don Chandler kick),44,17
