,Quarter,Time,Tm,Detail,STL,ARI
0,1.0,4:35,Rams,Benny Cunningham 3 yard rush (Greg Zuerlein kick),7,0
1,2.0,11:33,Cardinals,Andre Ellington 3 yard rush (Chandler Catanzaro kick),7,7
2,2.0,4:52,Cardinals,Chandler Catanzaro 43 yard field goal,7,10
3,2.0,1:50,Rams,Jared Cook 59 yard pass from Austin Davis (Greg Zuerlein kick),14,10
4,4.0,7:40,Cardinals,John Brown 48 yard pass from Drew Stanton (Chandler Catanzaro kick),14,17
5,4.0,5:13,Cardinals,Patrick Peterson 30 yard interception return (Chandler Catanzaro kick),14,24
6,4.0,3:58,Cardinals,Antonio Cromartie 14 yard defensive fumble return (Chandler Catanzaro kick),14,31
