,Quarter,Tm,Detail,NYJ,MIA
0,1.0,Dolphins,Jim Mandich 2 yard pass from Bob Griese (Garo Yepremian kick),0,7
1,2.0,Dolphins,Larry Csonka 1 yard rush (Garo Yepremian kick),0,14
2,3.0,Jets,John Riggins 9 yard pass from Joe Namath (Bobby Howfield kick),7,14
3,3.0,Jets,Bobby Howfield 43 yard field goal,10,14
4,4.0,Dolphins,Hubert Ginn 41 yard rush (Garo Yepremian kick),10,21
5,4.0,Jets,Rich Caster 89 yard pass from Joe Namath (Bobby Howfield kick),17,21
