,Quarter,Tm,Detail,CLE,DAL
0,2.0,Cowboys,Billy Joe DuPree 4 yard pass from Danny White (Rafael Septien kick),0,7
1,2.0,Cowboys,Tony Dorsett 1 yard rush (Rafael Septien kick),0,14
2,2.0,Cowboys,Rafael Septien 40 yard field goal,0,17
3,3.0,Cowboys,Ron Springs 2 yard pass from Danny White (Rafael Septien kick),0,24
4,3.0,Cowboys,Tony Dorsett 5 yard rush (Rafael Septien kick),0,31
5,4.0,Browns,Dino Hall 18 yard pass from Paul McDonald (Matt Bahr kick),7,31
6,4.0,Browns,Mike Pruitt 2 yard rush (Matt Bahr kick),14,31
