,Quarter,Time,Tm,Detail,CIN,JAX
0,1.0,9:15,Bengals,Sedrick Shaw 8 yard rush (Doug Pelfrey kick),7,0
1,1.0,5:34,Jaguars,Fred Taylor 13 yard rush (Mike Hollis kick),7,7
2,2.0,13:15,Jaguars,Keenan McCardell 25 yard pass from Jay Fiedler (Mike Hollis kick),7,14
3,2.0,0:21,Jaguars,Mike Hollis 27 yard field goal,7,17
4,4.0,9:19,Jaguars,Fred Taylor 1 yard rush (Mike Hollis kick),7,24
