,Quarter,Tm,Detail,RAM,WAS
0,1.0,Redskins,John Riggins 3 yard rush (Mark Moseley kick),0,7
1,1.0,Redskins,Art Monk 40 yard pass from Joe Theismann (Mark Moseley kick),0,14
2,1.0,Redskins,Mark Moseley 42 yard field goal,0,17
3,2.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),0,24
4,2.0,Rams,Preston Dennard 32 yard pass from Vince Ferragamo (Mike Lansford kick),7,24
5,2.0,Redskins,Art Monk 21 yard pass from Joe Theismann (Mark Moseley kick),7,31
6,2.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),7,38
7,3.0,Redskins,Mark Moseley 36 yard field goal,7,41
8,3.0,Redskins,Mark Moseley 41 yard field goal,7,44
9,4.0,Redskins,Darrell Green 72 yard interception return (Mark Moseley kick),7,51
