,Quarter,Time,Tm,Detail,SFO,CAR
0,1.0,,Panthers,Wesley Walls 19 yard pass from Steve Beuerlein (John Kasay kick),0,7
1,1.0,,Panthers,John Kasay 28 yard field goal,0,10
2,2.0,,Panthers,Wesley Walls 7 yard pass from Steve Beuerlein (John Kasay kick),0,17
3,3.0,,49ers,Derek Loville 44 yard pass from Steve Young (Jeff Wilkins kick),7,17
4,3.0,,Panthers,John Kasay 35 yard field goal,7,20
5,4.0,,Panthers,John Kasay 19 yard field goal,7,23
