,Quarter,Time,Tm,Detail,NWE,PIT
0,1.0,,Patriots,Adam Vinatieri 21 yard field goal,3,0
1,2.0,,Patriots,Adam Vinatieri 29 yard field goal,6,0
2,2.0,,Steelers,Norm Johnson 49 yard field goal,6,3
3,2.0,,Patriots,Terry Glenn 86 yard pass from Drew Bledsoe (Adam Vinatieri kick),13,3
4,2.0,0:11,Steelers,Norm Johnson 26 yard field goal,13,6
5,3.0,0:11,Steelers,Norm Johnson 43 yard field goal,13,9
6,4.0,0:11,Patriots,Adam Vinatieri 35 yard field goal,16,9
7,4.0,0:11,Patriots,Robert Edwards 4 yard rush (Adam Vinatieri kick),23,9
