,Quarter,Tm,Detail,BOS,PIT
0,1.0,Yanks,Bill Paschal 15 yard pass from Jim Youel (Roy Zimmerman kick),7,0
1,2.0,Yanks,Steve Pritko 33 yard fumble return (Roy Zimmerman kick),14,0
2,2.0,Steelers,Elbie Nickel 24 yard pass from Johnny Clement (Joe Glamp kick),14,7
3,3.0,Steelers,Joe Glamp 35 yard field goal,14,10
4,4.0,Steelers,Charlie Seabright 7 yard pass from Johnny Clement (Joe Glamp kick),14,17
5,4.0,Steelers,Norm Mosley 3 yard rush (Joe Glamp kick),14,24
