,Quarter,Tm,Detail,BOS,PHI
0,2.0,Yanks/Tigers,Pug Manders 18 yard rush (Augie Lio kick),7,0
1,2.0,Eagles,Allie Sherman 1 yard rush (Roy Zimmerman kick),7,7
2,3.0,Eagles,Steve Van Buren 29 yard rush (Roy Zimmerman kick),7,14
3,4.0,Eagles,Johnny Butler 4 yard rush (Roy Zimmerman kick),7,21
4,4.0,Eagles,Steve Van Buren 7 yard rush (Steve Van Buren kick),7,28
5,4.0,Eagles,Steve Van Buren 8 yard rush (Steve Van Buren kick),7,35
