,Quarter,Tm,Detail,KAN,CIN
0,2.0,Chiefs,Jan Stenerud 42 yard field goal,3,0
1,2.0,Bengals,Bob Trumpy 30 yard pass from Ken Anderson (Horst Muhlmann kick),3,7
2,3.0,Chiefs,Jan Stenerud 17 yard field goal,6,7
3,4.0,Bengals,Boobie Clark 3 yard rush (Horst Muhlmann kick),6,14
