,Quarter,Tm,Detail,PIT,CIN
0,1.0,Steelers,Matt Bahr 46 yard field goal,3,0
1,1.0,Bengals,Dan Ross 7 yard pass from Ken Anderson (Chris Bahr kick),3,7
2,2.0,Bengals,Pete Johnson 1 yard rush,3,13
3,2.0,Bengals,Howard Kurnick 12 yard special teams fumble return (Chris Bahr kick),3,20
4,2.0,Bengals,Jim LeClair 27 yard defensive fumble return (Chris Bahr kick),3,27
5,4.0,Bengals,Rick Walker 14 yard pass from Ken Anderson (Chris Bahr kick),3,34
6,4.0,Steelers,John Stallworth 33 yard pass from Terry Bradshaw (Matt Bahr kick),10,34
