,Quarter,Tm,Detail,RAM,CHI
0,1.0,Bears,Julie Rykovich 1 yard rush (Johnny Lujack kick),0,7
1,2.0,Bears,Johnny Lujack 5 yard field goal,0,10
2,3.0,Bears,Don Kindt 42 yard pass from Johnny Lujack (Johnny Lujack kick),0,17
3,4.0,Bears,Fred Morrison 15 yard rush (Johnny Lujack kick),0,24
4,4.0,Rams,Ed Champagne 8 yard pass from Norm Van Brocklin (Bob Waterfield kick),7,24
5,4.0,Rams,Dick Hoerner 2 yard rush (Bob Waterfield kick),14,24
